dept_name;state;notFound;notMatched
Limestone County Sheriff's Department;TX;False;False
Trenton Police Department;NJ;False;False
Ottumwa Police Department;IA;False;False
Tamaqua Borough Police Department;PA;False;False
Rio Grande County Sheriff's Office;CO;False;False
Portage County Sheriff's Department;WI;False;False
Lynn Police Department;MA;False;False
Lebanon Police Department;KY;False;False
Las Animas Police Department;CO;False;False
Utah Department of Corrections;UT;False;False
Quincy Police Department;IL;False;False
Dawson County Sheriff's Office;NE;False;False
Huntington Police Department;WV;False;False
Rochester Police Department;NY;False;False
Caldwell County Sheriff's Office;TX;False;False
Jackson Police Department;TN;False;False
Austin Police Department;NV;False;False
Lander County Sheriff's Office;NV;False;False
Gloucester Police Department;MA;False;False
Burnet County Sheriff's Office;TX;False;False
Rockwall County Sheriff's Office;TX;False;False
Orlando Police Department;FL;False;False
Faribault Police Department;MN;False;False
Montague County Sheriff's Office;TX;False;False
Tehachapi Police Department;CA;False;False
Texarkana Police Department;TX;False;False
Bandera County Sheriff's Office;TX;False;False
Independence Police Department;MO;False;False
Madison County Sheriff's Office;TN;False;False
San Francisco Police Department;CA;False;False
Trinity County Sheriff's Office;TX;False;False
Erath County Sheriff's Office;TX;False;False
Tarentum Borough Police Department;PA;False;False
Kokomo Police Department;IN;False;False
Fort Worth Marshal's Office;TX;False;False
Wortham Police Department;TX;False;False
Lake Township Police Department;IL;False;False
Lewis County Sheriff's Department;KY;False;False
Inyo County Sheriff's Department;CA;False;False
Colusa Police Department;CA;False;False
White Pine County Sheriff's Office;NV;False;False
Brazos County Sheriff's Office;TX;False;False
Kimble County Sheriff's Office;TX;False;False
Cooke County Constable's Office - Precinct 2;TX;False;False
Ouachita Parish Constable's Office;LA;False;False
Lincoln County Sheriff's Department;NM;False;False
Round Rock Police Department;TX;False;False
Dodge City Police Department;KS;False;False
Wood County Sheriff's Department;TX;False;False
Leadville Police Department;CO;False;False
Missoula County Sheriff's Department;MT;False;False
Williamson County Sheriff's Office;TX;False;False
Detroit Police Department;MI;False;False
Chatham County Constable's Office;GA;False;False
