dept_name,state,lat,lng
Gibson County Sheriff's Office,TN,35.9969735,-88.86469799999999
Barron County Sheriff's Department,WI,45.4105737,-91.85015369999999
Vermillion County Sheriff's Office,IN,39.8512139,-87.48020679999999
Madison Police Department,WI,43.0723122,-89.3832602
Vernon Police Department,CA,34.003903,-118.230073
Deeth Constable's Office,NV,41.0654759,-115.2747787
Benton Police Department,MO,37.0978279,-89.5625848
Madison County Sheriff's Office,IL,38.9041402,-89.9253233
Merchantville Police Department,NJ,39.9506837,-75.0491242
Marshall County Sheriff's Office,IL,40.9972934,-89.3606298
Athens Police Department,OH,39.3292396,-82.1012554
Kern County State Traffic Force,CA,34.9240314,-117.8912085
Cleveland County Sheriff's Office,NC,35.361354,-81.6035062
Blaine County Sheriff's Office,OK,35.8825489,-98.3964938
Pennsylvania Department of Conservation and Natural Resources - Bureau of State Parks,PA,40.262493,-76.87976499999999
Campbell Police Department,MO,36.4933927,-90.07509490000001
Carter County Constable's Office,KY,38.3204714,-83.03613759999999
Mooresville Police Department,NC,35.5937045,-80.81671419999999
Newton Police Department,TX,30.8485337,-93.7574008
Warren County Sheriff's Department,TN,35.7115652,-85.80766
Madison County Sheriff's Office,MS,32.6729459,-90.0373201
Robbins Police Department,NC,35.4340339,-79.5869735
Charleston County Police Department,SC,32.789258,-79.9596717
Struthers Police Department,OH,41.0561261,-80.5915058
Hudson Police Department,WI,44.9746896,-92.7568703
Giles County Sheriff's Office,VA,37.3132885,-80.6770787
St. Croix County Highway Patrol,WI,44.974838,-92.43567900000001
Hometown Police Department,IL,41.7285433,-87.7299567
Clayton County Police Department,GA,33.5381012,-84.3485096
Coolidge Police Department,TX,31.754053,-96.64998729999999
Texhoma Police Department,OK,36.5048611,-101.7846306
Tybee Island Police Department,GA,32.0239037,-80.8498103
Clayton Village Police Department,MI,41.8633809,-84.2363347
DeKalb County Sheriff's Department,TN,35.9728357,-85.80766
Marion County Sheriff's Department,IA,41.3173818,-93.17796589999999
Burnett County Sheriff's Department,WI,45.8051186,-92.2888131
Carroll County Sheriff's Department,AR,36.2987495,-93.5003454
Bossier City Police Department,LA,32.524938,-93.713252
Bellefonte Borough Police Department,PA,40.9145825,-77.78138489999999
Camp County Constable's Office - Precinct 1,TX,32.9959928,-94.9657148
Kingman Police Department,KS,37.6458491,-98.1136734
Delaware River Port Authority Police Department,NJ,39.9443128,-75.1296174
Camden County Sheriff's Office,GA,30.898276,-81.6035062
Miller County Sheriff's Office,GA,31.2008218,-84.7315563
Hamilton County Sheriff's Department,IL,38.0543187,-88.55653099999999
Rolla Police Department,MO,37.9520823,-91.7712485
Las Vegas Metropolitan Police Department,NV,36.0405001,-115.2450041
Marshall County Sheriff's Office,IA,42.0407088,-92.9375739
Oak Hill Police Department,OH,38.8939645,-82.573495
Rankin County Sheriff's Department,MS,32.274588,-89.98545969999999
Chickasaw County Sheriff's Department,MS,33.8818791,-89.0179332
Union Township Police Department,OH,39.1068776,-84.25948609999999
Campbell County Sheriff's Office,WY,44.3956107,-105.4489183
Cambridge Police Department,OH,40.031183,-81.5884561
East Helena Police Department,MT,46.5897757,-111.9152867
Colorado City Police Department,AZ,36.9902621,-112.9757702
Dougherty County Sheriff's Office,GA,31.5793005,-84.15242219999999
Hutchinson Police Department,MN,44.89254830000001,-94.3692926
Westlake Police Department,LA,30.2421496,-93.25070989999999
Covington Police Department,TN,35.5762326,-89.65340289999999
Martin County Sheriff's Office,NC,35.8733053,-77.1485163
Mineral County Sheriff's Office,NV,38.4343464,-118.4863963
Clovis Police Department,NM,34.4047987,-103.2052272
Winchester Police Department,TN,35.1859163,-86.11220709999999
Markham Police Department,IL,41.59293510000001,-87.6938235
Kane Borough Police Department,PA,41.6764569,-78.6847324
Middletown Police Department,CT,41.5623209,-72.6506488
Jasper County Sheriff's Office,MO,37.17455650000001,-94.35651299999999
Blaine County Sheriff's Office,MT,48.6065395,-108.9462246
Stephenson County Sheriff's Department,IL,42.2981954,-89.6228216
St. Charles Police Department,IL,41.9141945,-88.3086867
Clay County Sheriff's Department,MN,46.878186,-96.42575889999999
Forest Hills Police Department,KY,38.2153476,-85.58579309999999
Lincoln County Sheriff's Office,ID,43.0496418,-114.1694407
Vinita Park Police Department,MO,38.6951425,-90.3391204
Lake City Police Department,MN,44.4492982,-92.2666914
Union County Sheriff's Office,MS,34.459946,-88.9796776
Bellefontaine Neighbors Police Department,MO,38.742263,-90.227101
Caroline County Sheriff's Office,VA,38.051506,-77.346006
Los Angeles County Sheriff's Department,CA,34.058696,-118.230483
Shelby County Sheriff's Office,OH,40.3689335,-84.2278796
Covington Police Department,KY,39.0836712,-84.5085536
Grayson County Constable's Office - Precinct 6,TX,33.6343417,-96.6104881
Columbus Police Department,GA,32.4609764,-84.9877094
Madison County Sheriff's Office,TN,35.6479574,-88.86469799999999
Franklin County Sheriff's Department,TX,33.1959954,-95.18492189999999
Pepin County Sheriff's Department,WI,44.6221094,-91.9671814
Crescent City Police Department,LA,29.95106579999999,-90.0715323
Cooke County Constable's Office - Precinct 5,TX,33.6953627,-97.0132525
Orange County Sheriff's Office,TX,30.1484033,-93.86553029999999
Columbus Police Department,KS,37.1692278,-94.8441239
Pelham Police Department,GA,31.1276849,-84.1518466
Marion County Sheriff's Department,TX,32.7780679,-94.35651299999999
Kiowa County Sheriff's Office,KS,37.52851649999999,-99.2785583
Charleston County Magistrate's Office,SC,32.7472339,-79.9881746
Mason County Sheriff's Office,IL,40.2271003,-89.9253233
Fayette County Constable's Office - Precinct 5,TX,29.9038318,-96.676226
New York State Environmental Conservation Police,NY,44.3005283,-74.0796892
Fayette County Sheriff's Office,TX,29.8896442,-96.83509989999999
Concord Police Department,NC,35.4087517,-80.579511
Morris County Sheriff's Office,KS,38.7144832,-96.663812
Randolph County Sheriff's Office,AR,36.3457918,-90.9820668
Pineville Police Department,LA,31.3224044,-92.4343035
Galesburg Police Department,IL,40.945705,-90.3719666
Chino Police Department,CA,34.0290783,-117.6862389
Reno Police Department,NV,39.527832,-119.806264
Knox County Constable's Office,KY,36.9260578,-83.8897057
Floral City Marshal's Office,FL,30.3589591,-81.66658939999999
Okmulgee Police Department,OK,35.6221593,-95.971007
Clarence Police Department,MO,39.7419808,-92.25851519999999
Northport Police Department,WA,48.91602229999999,-117.7816505
Wilson County Sheriff's Office,NC,35.7260419,-77.90989859999999
Rosebud County Sheriff's Office,MT,46.26617539999999,-106.6735144
California Department of Fish and Wildlife,CA,38.6463046,-121.5010626
Hume Constable's Office,MO,38.0900314,-94.58384439999999
Princeton Police Department,MO,40.4008426,-93.5804988
Upton Police Department,KY,37.4650577,-85.89329819999999
Warren Police Department,PA,41.8439486,-79.1450445
St. Landry Parish Sheriff's Office,LA,30.5340608,-92.0844201
Boone County Sheriff's Office,WV,37.9838605,-81.73494199999999
Lincoln County Sheriff's Department,OK,35.6342646,-96.83509989999999
Grafton Police Department,WV,39.3409249,-80.0189659
Brockton Police Department,MA,42.0848045,-71.0161847
Ashland Police Department,AL,33.2737256,-85.83607409999999
Hibbing Police Department,MN,47.4284391,-92.92603299999999
Henry County Sheriff's Office,VA,36.6588867,-79.96403389999999
Delaware State Police,DE,39.0913347,-75.4977147
Delta County Sheriff's Office,MI,45.7124142,-86.98441749999999
Geneva Police Department,NY,42.8679836,-76.985557
Benton County Sheriff's Department,MO,38.3534598,-93.33889169999999
Solano County State Traffic Force,CA,38.3208192,-121.9749219
Erie County Sheriff's Office,NY,42.9023958,-78.8661589
Hyde County Sheriff's Office,SD,44.5334083,-99.456155
Big Horn County Sheriff's Department,MT,45.3496574,-107.2715769
Lee County Sheriff's Office,NC,35.4693744,-79.1548533
Franklin Borough Police Department,PA,40.3404867,-78.8849698
Randolph County Sheriff's Office,IL,38.0629321,-89.77553379999999
South Chicago Heights Police Department,IL,41.48901,-87.635674
Marks Creek Township Constable's Office,NC,34.8844123,-79.67266320000002
Frankfort Police Department,IN,40.2794809,-86.5108355
Williamsburg Police Department,KY,36.7434169,-84.15965609999999
Imperial Police Department,MO,38.3697763,-90.37845250000001
Murphy Police Department,NC,35.08758359999999,-84.0346315
Ashland Police Department,OR,42.1945758,-122.7094767
Madison Police Department,GA,33.5956813,-83.467944
Arizona Livestock Sanitary Board,AZ,33.445417,-112.1011447
Newton County Sheriff's Department,MO,36.9618494,-94.315422
Freeport Police Department,NY,40.6576022,-73.58318349999999
Hatboro Borough Police Department,PA,40.1778546,-75.1018646
Chicago Park District Police Department,IL,41.8923336,-87.6199524
Ada Police Department,OH,40.7694969,-83.8227148
Sullivan County Twelfth District Constable's Office,TN,36.5209427,-82.53558129999999
Fentress County Sheriff's Department,TN,36.4175141,-84.92735139999999
Greenwood Police Department,SC,34.1954001,-82.1617883
Carteret Police Department,NJ,40.57544559999999,-74.2178009
Reading Police Department,OH,39.2236694,-84.44216410000001
Lakewood Police Department,NJ,40.08212899999999,-74.2097014
Louellen Police Department,KY,36.9128685,-83.0940573
West Columbia Police Department,SC,33.9910611,-81.0730595
Harrison County Sheriff's Office,WV,39.33481260000001,-80.365865
Refugio County Sheriff's Department,TX,28.2992123,-97.274744
Johnson County Sheriff's Office,KS,38.845412,-94.8520636
Homewood Police Department,AL,33.479296,-86.789971
Jefferson County Sheriff's Office,AR,34.227351,-91.9099238
Marion Police Department,VA,36.8348383,-81.5148368
Allen Village Police Department,MI,41.9569915,-84.7677394
Mt. Carmel Police Department,IL,38.4108801,-87.7614174
Union City Police Department,GA,33.5870558,-84.5424299
Pennsylvania State Constable - Butler County,PA,40.9115243,-79.8296743
Wisconsin Department of Revenue - Alcohol and Tobacco Enforcement,WI,43.0429425,-89.375928
North Coventry Township Police Department,PA,40.231062,-75.6553481
Junction City Police Department,OR,44.21929009999999,-123.2056484
Lincoln County Sheriff's Office,CO,39.0457549,-103.3587288
Thief River Falls Police Department,MN,48.11682709999999,-96.1819986
St. Clair City Police Department,MI,42.8315458,-82.503096
Maury County Ninth District Constable's Office,TN,35.6130339,-87.0422318
Union Parish Sheriff's Department,LA,32.7657729,-92.3891579
Scottsburg Police Department,IN,38.689489,-85.7936115
Morrison County Sheriff's Office,MN,45.9751333,-94.36111129999999
Jasper County Sheriff's Office,MS,32.0810429,-89.1705998
Walworth County Sheriff's Department,WI,42.663959,-88.4998609
Chattaroy Police Department,WV,37.7034341,-82.280974
Wayne County Sheriff's Department,OH,40.7588598,-81.9534815
Warwick Police Department,GA,31.8310072,-83.9187886
Hughes Police Department,AR,34.9536152,-90.4639911
Lake County Sheriff's Office,MI,43.9446996,-85.84862360000001
Parma Police Department,ID,43.7851615,-116.9432088
Chester County Sheriff's Department,SC,34.6707995,-81.1196075
Vidalia Police Department,LA,31.5654441,-91.4259495
Norway Police Department,MI,45.7869023,-87.9037364
Lincoln Police Department,CA,38.891565,-121.2930079
Somerset Police Department,MA,41.7402579,-71.1488962
Buena Park Police Department,CA,33.8641409,-117.9972545
Marengo County Sheriff's Department,AL,32.30725690000001,-87.79681169999999
Dodge County Sheriff's Office,GA,32.1287268,-83.2077645
Crestview Police Department,FL,30.7737129,-86.5622286
Hardeman County Sheriff's Office,TN,35.2523965,-88.9859362
Alice Police Department,TX,27.7503915,-98.0726895
Monroe County Sheriff's Department,WV,37.5601958,-80.5882803
Fullerton Police Department,CA,33.8706603,-117.9281039
Sebring Police Department,FL,27.4982707,-81.4405676
Upland Borough Police Department,PA,39.856765,-75.381637
Humphreys County Sheriff's Department,MS,33.1677834,-90.52578229999999
Lancaster County Sheriff's Office,SC,34.7253411,-80.6770787
Belmont Police Department,MS,34.5098192,-88.20921
Delaware County Sheriff's Office,PA,39.907793,-75.3878525
Columbia Police Department,MS,31.2524566,-89.83542829999999
Deming Police Department,NM,32.2691075,-107.7508985
Wright City Police Department,OK,34.0601065,-95.003281
Beaver County Sheriff's Office,UT,38.24264489999999,-112.6519917
Clear Creek County Sheriff's Office,CO,39.706164,-105.6984816
Wellston Police Department,MO,38.6728292,-90.29928079999999
Spencer Police Department,MA,42.2439682,-71.9922867
Lee's Summit Police Department,MO,38.9314466,-94.3810963
Wilson County Sheriff's Office,TX,29.2683783,-98.04651849999999
Middlesex County Sheriff's Office,VA,37.6040106,-76.5257007
Nelson County Constable's Office,KY,37.7647455,-85.47880649999999
Trafford Police Department,AL,33.8181563,-86.74277119999999
Yuma Police Department,AZ,32.699234,-114.6208946
Alaska State Troopers - Village Public Safety Officers,AK,61.1755629,-149.9701756
Picher Police Department,OK,36.976474,-94.8330604
Williston Police Department,FL,29.38747,-82.4467705
Balcones Heights Police Department,TX,29.4910334,-98.5543055
Benton County Sheriff's Department,MS,34.7712669,-89.1705998
Grant County Sheriff's Department,WI,42.9397015,-90.6773046
Milan Police Department,MI,42.0853204,-83.6824384
Oklahoma Alcoholic Beverage Laws Enforcement Commission,OK,35.509338,-97.5117832
Pearl River County Sheriff's Department,MS,30.7225614,-89.5820703
Morgan County Sheriff's Department,IL,39.7341219,-90.2244662
Holt County Sheriff's Department,MO,40.0704458,-95.18492189999999
Oglethorpe County Sheriff's Office,GA,33.8948412,-83.1214707
Warrenton Police Department,OR,46.1651049,-123.9237557
Whitfield County Sheriff's Office,GA,34.7937801,-84.9799626
Middleton Police Department,MA,42.59509389999999,-71.0161643
Haines City Police Department,FL,28.1144671,-81.640761
Gwinnett County Sheriff's Office,GA,33.9514072,-83.9931893
Douglas County Sheriff's Office,CO,39.2587106,-104.9388853
Greene County Sheriff's Office,NC,35.4553736,-77.6700073
Morgantown Police Department,WV,39.6293101,-79.9543106
Queen Anne's County Sheriff's Department,MD,39.0424991,-76.0607663
Albany Police Department,OR,44.6365107,-123.1059282
Chowan County Sheriff's Office,NC,36.06526789999999,-76.612055
Adams County Sheriff's Office,WI,44.0196955,-89.77553379999999
Harnett County Sheriff's Office,NC,35.4173942,-78.8087109
Riverdale Police Department,IL,41.63336779999999,-87.6331021
Allegany County Sheriff's Department,NY,42.3129816,-78.0195387
Douglas County Sheriff's Office,GA,33.7290225,-84.7315563
Northumberland County Sheriff's Office,VA,37.9035732,-76.4100267
Hardin County Sheriff's Office,IL,37.4995097,-88.362785
Sheridan County Sheriff's Office,KS,39.3470831,-100.439656
Marion County Sheriff's Office,OR,44.8446393,-122.5927411
Bushnell Police Department,FL,28.6774389,-82.1129617
Vance County Sheriff's Office,NC,36.3294603,-78.40165879999999
Ross Township Police Department,OH,39.3186144,-84.643878
Kane County Sheriff's Office,UT,37.293251,-112.4291464
Buckeye Police Department,AZ,33.3722826,-112.5726278
Harper County Sheriff's Office,OK,36.8203755,-99.634135
Bardstown Police Department,KY,37.8061471,-85.4509901
Windermere Police Department,FL,28.493551,-81.534913
Denham Springs Police Department,LA,30.4804982,-90.9608107
Hamilton County Parks and Recreation Department,TN,35.0339876,-85.1046068
Seaside Police Department,OR,45.9931636,-123.9226385
Hancock County Sheriff's Department,ME,44.5770308,-68.3566918
Harrison County Sheriff's Office,TX,32.5539228,-94.315422
Chicago Police Department,IL,41.779162,-87.708877
Columbia Police Department,CA,38.0363119,-120.4013061
Buffalo Police Department,NY,42.883162,-78.878035
Fremont County Sheriff's Department,IA,40.7400403,-95.6457951
Capital Police District,NY,42.673321,-73.748761
Lincoln County Sheriff's Office,KY,37.4751264,-84.6479124
Ellis County Sheriff's Office,KS,38.8683549,-99.2785583
Oswego Police Department,KS,37.1675652,-95.10996449999999
Limestone County Sheriff's Department,TX,31.5461078,-96.663812
Lake Township Police Department,IL,38.5356391,-89.3321823
Claiborne County Sheriff's Department,MS,31.9438205,-90.9438468
Gold Hill Police Department,NV,39.29046779999999,-119.6574011
El Paso County Constable's Office - Precinct 1,TX,31.795238,-106.5146824
Kenton Police Department,OH,40.6470495,-83.608536
Fayette County Sheriff's Department,IA,42.9258199,-91.9099238
Frisco Police Department,UT,38.45635,-113.2588528
Willard Police Department,OH,41.0503889,-82.7260396
Cedar County Sheriff's Office,NE,42.56103239999999,-97.179026
Comanche County Sheriff's Department,TX,31.9755461,-98.5721016
Shannon Police Department,IL,42.1547457,-89.7398389
Seneca County Sheriff's Department,NY,42.7651891,-76.8720961
Smith County Sheriff's Office,TN,36.2388468,-85.971322
Summersville Police Department,MO,37.1792159,-91.6568107
Williamson County Constable's Office - Precinct 2,TX,30.51889839999999,-97.8256761
Brazos County Constable's Office - Precinct 1,TX,30.6719719,-96.37066209999999
Yavapai County Constable's Office,AZ,34.54137,-112.466587
McLennan County Convict Farm,TX,31.505073,-97.205102
Richmond County Sheriff's Office,NC,35.003045,-79.7848422
Parkland Police Department,KY,38.24427710000001,-85.7999758
Marshall County Constable's Office,AL,34.3652297,-86.3376761
Fayette County Constable's Office - Precinct 8,TX,29.5585938,-95.1202223
Riverside County Sheriff's Department,CA,33.9782814,-117.3744294
Echo Constable's Office,UT,40.97789849999999,-111.4413165
Danville Sheriff's Office,VA,36.5870947,-79.39120950000002
Denton County Sheriff's Office,TX,33.2128951,-97.1131449
Franklin County Sheriff's Office,KY,38.2481018,-84.8984775
Clarksville Police Department,MO,39.3706026,-90.9051315
Somerville Police Department,NJ,40.5742696,-74.60987999999999
Clay County Sheriff's Office,KY,37.1738044,-83.7199136
Alexandria Police Department,IN,40.2628184,-85.675809
Hancock County Sheriff's Department,TN,36.5456022,-83.2077645
Madison County Sheriff's Office,MT,45.466729,-111.8865015
Humboldt Police Department,IA,42.7208047,-94.2152402
Morgan County Constable's Office,KY,37.9145713,-83.2934086
Morehouse Police Department,MO,36.8472748,-89.6853599
Douglas Police Department,AZ,31.3445471,-109.5453447
Flushing Police Department,OH,40.1495133,-81.0662112
Springfield Police Department,OH,39.9242266,-83.8088171
Hartford Police Department,WI,43.3177794,-88.3789862
Kyle Police Department,TX,29.9891578,-97.8755173
Iron County Sheriff's Office,MO,37.5515182,-90.6773046
Pennsylvania Game Commission,PA,40.2953397,-80.4835653
Prescott Police Department,WI,44.7488565,-92.8021471
Monongahela City Police Department,PA,40.2042232,-79.9274933
Pulaski County Sheriff's Department,IN,40.9957383,-86.8220341
Scott County Sheriff's Office,VA,36.6815794,-82.605118
Wildwood Police Department,FL,28.865264,-82.03897429999999
Lawrence County Sheriff's Office,KY,38.05267500000001,-82.7778579
Pasco County Sheriff's Office,FL,28.2672208,-82.67111709999999
Hastings Police Department,OK,34.2267578,-98.11004
Ocilla Police Department,GA,31.5909938,-83.2501407
Madill Police Department,OK,34.0921111,-96.770664
Columbia County Sheriff's Office,AR,33.1285176,-93.17796589999999
Chelan County Sheriff's Office,WA,47.422588,-120.316734
Shelbyville Police Department,TN,35.483406,-86.46027169999999
Avery County Constable's Office - Elk Park Precinct,NC,36.161045,-81.98061899999999
Fairfax Police Department,OK,36.5736587,-96.7041988
East Point Police Department,GA,33.680621,-84.4421251
Salisbury Police Department,MA,42.84172299999999,-70.8605982
East Chicago Police Department,IN,41.638056,-87.44360379999999
