dept_name,state,lat,lng
Limon Police Department,CO,39.2612661,-103.6877549
Wartburg Police Department,TN,36.1054844,-84.5967123
Lower Burrell Police Department,PA,40.58819099999999,-79.728416
St. Louis Park Police Department,MN,44.948337,-93.3438527
Charles City County Sheriff's Office,VA,37.341122,-77.071012
Pearl Police Department,MS,32.2753179,-90.1265865
Lakewood Police Department,CO,39.7076132,-105.086006
Santa Cruz Police Department,CA,36.9677826,-122.0274081
Barwick Police Department,GA,30.9599156,-83.7414757
Orange Beach Police Department,AL,30.290089,-87.579231
Centre Police Department,AL,34.1502892,-85.6737924
Burns Flat Police Department,OK,35.3529881,-99.1707416
Trinity University Police Department,TX,29.4618444,-98.4831622
Pineville City Marshal's Office,LA,31.324048,-92.43223069999999
Union County Sheriff's Office,NC,34.9778176,-80.4655338
Stone Park Police Department,IL,41.9010445,-87.8834684
Carson City Sheriff's Office,NV,39.1643913,-119.7593729
Crawford Police Department,NY,41.6029299,-74.3047847
Winnsboro Police Department,LA,32.1669342,-91.7204811
Cochise County Sheriff's Department,AZ,31.5539259,-110.2331739
Mackinaw Police Department,IL,40.537122,-89.35883400000002
Scotland County Sheriff's Office,NC,34.7753588,-79.4596698
Moriarty Police Department,NM,35.0031744,-106.0505252
North Carolina Division of Motor Vehicles Enforcement Section,NC,36.5288031,-80.6295701
Fauquier County Sheriff's Office,VA,38.712883,-77.7988
Harrison County Sheriff's Department,MS,30.4391082,-89.0547356
Rowley Police Department,MA,42.707358,-70.91623799999999
Hardeman County Sheriff's Office,TN,35.2523965,-88.9859362
Madawaska Police Department,ME,47.3552654,-68.32100129999999
Ypsilanti Police Department,MI,42.24023589999999,-83.61925149999999
Anthony Police Department,TX,31.9918879,-106.6023481
Covington Police Department,GA,33.5951501,-83.85722439999999
Panola County Sheriff's Office,TX,32.155279,-94.3415854
Pennsylvania State Capitol Police,PA,39.95367359999999,-75.15332389999999
Jaffrey Police Department,NH,42.81554450000001,-72.0237715
Nelson County Constable's Office,KY,37.7647455,-85.47880649999999
San Luis Police Department,AZ,32.4986529,-114.7752549
Buena Borough Police Department,NJ,39.5217516,-74.9487492
South Tucson Police Department,AZ,32.217526,-110.971007
Winslow Township Police Department,NJ,39.7014684,-74.896289
Loudoun County Sheriff's Office,VA,39.0821716,-77.5535593
Yarmouth Police Department,MA,41.6687834,-70.2448258
Ohio Air National Guard - 178th Security Forces Squadron,OH,39.848868,-83.8400173
Red Bluff Police Department,CA,40.1756042,-122.2351744
Gilbert Police Department,AZ,33.3293742,-111.7884817
Avon Park Police Department,FL,27.5954013,-81.4990869
Jacksboro Police Department,TN,36.3299378,-84.1839225
Monterey County Sheriff's Department,CA,36.6002378,-121.8946761
Bent County Sheriff's Office,CO,38.0036339,-103.0817903
Tehachapi Police Department,CA,35.1321877,-118.4489739
El Paso County Constable's Office - Precinct 1,TX,29.755125,-95.392333
Connellsville City Police Department,PA,40.0178522,-79.58948280000001
Minneapolis Police Department,MN,44.977753,-93.2650108
Cooke County Constable's Office - Precinct 5,TX,33.6672185,-97.35165579999999
Laconia Police Department,NH,43.5278546,-71.4703509
Winston-Salem Police Department,NC,36.09985959999999,-80.244216
Harris County Sheriff's Office,TX,29.7751825,-95.3102505
Graves County Sheriff's Department,KY,36.6887728,-88.7108964
Marlin Police Department,TX,31.3062874,-96.89804389999999
Fayetteville Police Department,NC,35.0526641,-78.87835849999999
Scott County Sheriff's Office,VA,36.6815794,-82.605118
Jakin Marshal's Office,GA,31.0910162,-84.98214999999999
Guilford County Sheriff's Office,NC,36.0899873,-79.8296743
Belleville Police Department,IL,38.5200504,-89.9839935
Harrison County Constable's Office - Precinct 3,TX,32.5539228,-94.315422
Wingate Police Department,NC,34.9843176,-80.4492319
Ashtabula Police Department,OH,41.8650534,-80.7898089
Okaloosa County Sheriff's Office,FL,30.57734009999999,-86.6611083
Gary Police Department,IN,41.5933696,-87.3464271
Westhope Police Department,ND,48.9094642,-101.0207117
